,month,gender,years,edu_lvl,etnicity,main_source,total
24668,JAN,f,35.0,otro,mestizo,2000.0,2000.0
24669,JAN,f,59.0,secundaria,mestizo,1000.0,1450.0
24670,JAN,m,35.0,tecnica,mestizo,1450.0,1450.0
24671,JAN,m,27.0,uni_trunca,mestizo,2000.0,2000.0
24672,JAN,f,50.0,secundaria,mestizo,1116.0,1196.0
24673,JAN,f,35.0,otro,quechua,1720.0,1810.0
24674,JAN,m,34.0,secundaria,mestizo,1000.0,1000.0
24675,JAN,m,18.0,secundaria,afroperuano,996.0,996.0
24676,JAN,m,47.0,secundaria,mestizo,1200.0,1385.0
24677,JAN,m,30.0,secundaria,mestizo,500.0,500.0
24678,JAN,m,28.0,uni_trunca,mestizo,1578.0,1578.0
24679,JAN,f,26.0,uni_trunca,mestizo,1500.0,1500.0
24680,JAN,m,50.0,secundaria,mestizo,2400.0,2400.0
24681,JAN,m,45.0,secundaria,quechua,2850.0,2850.0
24682,JAN,m,54.0,secundaria,mestizo,2600.0,2600.0
24683,JAN,f,50.0,secundaria,mestizo,700.0,700.0
24684,JAN,m,42.0,secundaria,blanco,1200.0,1200.0
24685,JAN,m,31.0,secundaria,blanco,1200.0,1200.0
24686,JAN,m,36.0,secundaria,blanco,1800.0,1800.0
24687,JAN,f,34.0,secundaria,mestizo,650.0,650.0
24688,JAN,m,35.0,secundaria,blanco,1949.0,1949.0
24689,JAN,m,33.0,tecnica,mestizo,1615.0,1615.0
24690,JAN,f,52.0,otro,mestizo,1428.0,1428.0
24691,JAN,m,28.0,secundaria,mestizo,2143.0,2143.0
24692,JAN,m,58.0,secundaria,mestizo,1031.0,1031.0
24693,JAN,m,52.0,tecnica,mestizo,1299.0,1299.0
24694,JAN,m,68.0,tecnica_trunca,quechua,1600.0,1600.0
24695,JAN,f,62.0,tecnica_trunca,quechua,1700.0,1700.0
24696,JAN,m,27.0,uni_completa,mestizo,2000.0,2000.0
24697,JAN,f,36.0,tecnica,mestizo,2000.0,2000.0
24698,JAN,m,27.0,uni_completa,mestizo,2000.0,2000.0
24699,JAN,f,44.0,secundaria,quechua,1950.0,1950.0
24700,JAN,f,58.0,tecnica,mestizo,1320.0,1320.0
24701,JAN,m,61.0,secundaria,mestizo,2800.0,2800.0
24702,JAN,f,37.0,uni_completa,mestizo,1600.0,1600.0
24703,JAN,m,23.0,uni_trunca,quechua,1025.0,1025.0
24704,JAN,f,49.0,secundaria,mestizo,900.0,900.0
24705,JAN,f,56.0,otro,mestizo,1250.0,1250.0
24706,JAN,m,22.0,tecnica_trunca,mestizo,1026.0,1026.0
24707,JAN,f,22.0,secundaria,mestizo,866.0,866.0
24708,JAN,f,18.0,secundaria,mestizo,1600.0,1600.0
24709,JAN,m,25.0,secundaria,mestizo,1543.0,1543.0
24710,JAN,m,38.0,secundaria,mestizo,2032.0,2032.0
24711,JAN,m,64.0,tecnica,mestizo,2000.0,4000.0
24712,JAN,m,33.0,tecnica,mestizo,2226.0,2226.0
24713,JAN,m,33.0,secundaria,mestizo,2760.0,2760.0
24714,JAN,f,33.0,tecnica,mestizo,2950.0,2950.0
24715,JAN,f,51.0,tecnica_trunca,mestizo,1500.0,1500.0
24716,JAN,f,24.0,uni_completa,mestizo,1200.0,1200.0
24717,JAN,m,51.0,tecnica,otro,1800.0,1800.0
24718,JAN,f,51.0,tecnica,mestizo,2950.0,2950.0
24719,JAN,f,47.0,otro,mestizo,400.0,400.0
24720,JAN,f,39.0,tecnica,mestizo,1550.0,1550.0
24721,JAN,m,40.0,secundaria,mestizo,1299.0,1299.0
24722,JAN,f,44.0,secundaria,quechua,500.0,500.0
24723,JAN,m,19.0,tecnica_trunca,mestizo,866.0,866.0
24724,JAN,f,63.0,otro,quechua,1430.0,1430.0
24725,JAN,m,43.0,secundaria,mestizo,1299.0,1299.0
24726,JAN,f,29.0,secundaria,mestizo,1083.0,1083.0
24727,JAN,m,53.0,secundaria,mestizo,3600.0,3600.0
24728,JAN,f,26.0,uni_completa,mestizo,1533.0,1533.0
24729,JAN,f,49.0,tecnica_trunca,mestizo,8000.0,8000.0
24730,JAN,m,65.0,tecnica,mestizo,2500.0,2500.0
24731,JAN,f,67.0,tecnica,mestizo,1600.0,1600.0
24732,JAN,m,44.0,tecnica,mestizo,1100.0,1100.0
24733,JAN,m,57.0,uni_trunca,mestizo,650.0,650.0
24734,JAN,f,46.0,secundaria,mestizo,200.0,350.0
24735,JAN,f,19.0,uni_trunca,mestizo,600.0,600.0
24736,JAN,f,41.0,uni_completa,mestizo,1500.0,1500.0
24737,JAN,m,72.0,otro,quechua,993.0,993.0
24738,JAN,f,36.0,secundaria,otro,1200.0,1450.0
24739,JAN,m,52.0,uni_completa,mestizo,2255.0,2255.0
24740,JAN,f,59.0,uni_completa,mestizo,2800.0,2800.0
24741,JAN,m,49.0,uni_trunca,quechua,433.0,433.0
24742,JAN,m,41.0,secundaria,mestizo,1600.0,1600.0
24743,JAN,f,24.0,uni_completa,mestizo,1500.0,1500.0
24744,JAN,m,47.0,secundaria,mestizo,1500.0,1500.0
24745,JAN,m,38.0,uni_completa,mestizo,2600.0,2600.0
24746,JAN,m,28.0,tecnica,mestizo,295.0,295.0
24747,JAN,f,53.0,uni_completa,mestizo,2300.0,2300.0
24748,JAN,f,36.0,secundaria,mestizo,2165.0,2165.0
24749,JAN,m,55.0,uni_trunca,mestizo,2000.0,2000.0
24750,JAN,m,35.0,otro,blanco,1200.0,1200.0
24751,JAN,f,18.0,secundaria,mestizo,1383.0,1383.0
24752,JAN,m,16.0,otro,mestizo,1399.0,1399.0
24753,JAN,m,68.0,secundaria,mestizo,1500.0,1500.0
24754,JAN,m,32.0,secundaria,mestizo,1123.0,1123.0
24755,JAN,f,27.0,secundaria,mestizo,900.0,900.0
24756,JAN,f,60.0,uni_completa,mestizo,2400.0,2425.0
24757,JAN,f,21.0,uni_trunca,mestizo,1343.0,1343.0
24758,JAN,m,20.0,otro,mestizo,1620.0,1620.0
24759,JAN,f,26.0,uni_trunca,mestizo,480.0,505.0
24760,JAN,f,35.0,secundaria,mestizo,350.0,350.0
24761,JAN,m,38.0,secundaria,mestizo,1299.0,1299.0
