age,sex,education,ethnicity,month,main_src,total_src
21.0,m,uni_trunca,mestizo,nov,300.0,300.0
62.0,f,otro,quechua,nov,300.0,300.0
52.0,m,uni_completa,mestizo,nov,2300.0,2300.0
62.0,m,otro,mestizo,nov,900.0,900.0
25.0,m,otro,mestizo,nov,1083.0,1083.0
54.0,m,uni_completa,mestizo,nov,1200.0,1200.0
38.0,m,tecnica_trunca,mestizo,nov,1300.0,1300.0
39.0,m,tecnica,mestizo,nov,3210.0,3210.0
49.0,m,secundaria,mestizo,nov,1025.0,1025.0
52.0,m,secundaria,mestizo,nov,1790.0,1790.0
42.0,m,uni_completa,mestizo,nov,3000.0,3000.0
51.0,m,uni_completa,mestizo,nov,2000.0,2000.0
63.0,m,otro,mestizo,nov,1580.0,1580.0
32.0,m,secundaria,quechua,nov,1680.0,1680.0
23.0,f,tecnica_trunca,mestizo,nov,1662.0,1662.0
34.0,m,otro,quechua,nov,1200.0,1200.0
74.0,m,secundaria,blanco,nov,1082.0,1082.0
37.0,m,tecnica,mestizo,nov,1516.0,1516.0
37.0,m,tecnica_trunca,quechua,nov,2660.0,2660.0
28.0,f,secundaria,otro,nov,1500.0,1500.0
41.0,m,secundaria,quechua,nov,1307.0,1307.0
33.0,f,uni_completa,quechua,nov,3800.0,3800.0
35.0,m,secundaria,mestizo,nov,2400.0,2400.0
61.0,f,secundaria,mestizo,nov,2241.0,2241.0
35.0,m,secundaria,mestizo,nov,1025.0,1025.0
60.0,m,tecnica,mestizo,nov,3402.0,3802.0
27.0,f,uni_completa,mestizo,nov,2325.0,2325.0
27.0,m,tecnica_trunca,quechua,nov,1386.0,1386.0
57.0,f,otro,mestizo,nov,860.0,860.0
46.0,m,secundaria,mestizo,nov,1819.0,1819.0
21.0,f,secundaria,mestizo,nov,1200.0,1200.0
43.0,m,tecnica,mestizo,nov,3000.0,3000.0
56.0,m,otro,mestizo,nov,1120.0,1120.0
34.0,f,tecnica_trunca,mestizo,nov,1336.0,1936.0
32.0,m,tecnica,mestizo,nov,2500.0,2500.0
60.0,f,uni_completa,mestizo,nov,2000.0,2000.0
44.0,m,secundaria,otro,nov,1285.0,1285.0
47.0,f,secundaria,mestizo,nov,909.0,909.0
17.0,f,otro,mestizo,nov,217.0,217.0
27.0,f,tecnica_trunca,mestizo,nov,1407.0,1407.0
