month,sex,age,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,education,ethnicity,main_src,total_src
feb,m,24,,,,,, ,,,1582,1582
feb,m,30,,,,,, ,,,1582,1582
feb,f,22,,,,,, ,,,1683,1683
feb,m,50,,,,,, ,,,1578,1578
feb,m,47,,,,,, ,,,1570,1570
feb,m,28,,,,,, ,,,1565,1565
feb,m,54,,,,,, ,,,1805,1805
feb,m,55,,,,,, ,,,1562,1562
feb,m,65,,,,,, ,,,1560,1560
feb,m,35,,,,,, ,,,1560,1560
feb,m,50,,,,,, ,,,1539,1539
feb,f,52,,,,,, ,,,1517,1517
feb,m,44,,,,,, ,,,1516,1516
feb,m,49,,,,,, ,,,1515,1515
feb,f,31,,,,,, ,,,1581,1581
feb,m,19,,,,,, ,,,1500,1500
feb,m,27,,,,,, ,,,1500,1500
feb,f,58,,,,,, ,,,1500,1500
feb,f,46,,,,,, ,,,1500,1500
feb,m,33,,,,,, ,,,1500,1500
feb,f,51,,,,,, ,,,1500,1500
feb,f,53,,,,,, ,,,1500,1500
feb,m,54,,,,,, ,,,1500,1500
feb,m,51,,,,,, ,,,1500,1500
feb,m,50,,,,,, ,,,1500,1500
feb,m,69,,,,,, ,,,1500,1500
feb,m,38,,,,,, ,,,1500,1500
feb,m,26,,,,,, ,,,1500,1500
feb,m,45,,,,,, ,,,1500,1500
feb,f,51,,,,,, ,,,1530,1530
feb,m,38,,,,,, ,,,1500,1500
feb,m,43,,,,,, ,,,1500,1500
feb,m,60,,,,,, ,,,1500,1500
feb,m,52,,,,,, ,,,1500,1500
feb,m,58,,,,,, ,,,1500,1500
feb,m,39,,,,,, ,,,1500,1500
feb,m,46,,,,,, ,,,1500,1500
feb,m,63,,,,,, ,,,1500,1500
feb,m,55,,,,,, ,,,1500,1500
feb,m,46,,,,,, ,,,1500,1500
feb,m,47,,,,,, ,,,1500,1500
feb,m,36,,,,,, ,,,1488,1488
feb,m,40,,,,,, ,,,1500,1500
feb,m,60,,,,,, ,,,1472,1472
feb,m,55,,,,,, ,,,1465,1465
feb,m,62,,,,,, ,,,1461,1461
feb,f,64,,,,,, ,,,1752,1752
feb,f,54,,,,,, ,,,1551,1551
feb,m,27,,,,,, ,,,1450,1450
feb,m,51,,,,,, ,,,1450,1450
feb,f,65,,,,,, ,,,1450,1450
feb,m,47,,,,,, ,,,1450,1450
feb,f,41,,,,,, ,,,1450,1450
feb,m,49,,,,,, ,,,1432,1432
feb,f,40,,,,,, ,,,1580,1580
feb,m,50,,,,,, ,,,1430,1430
feb,f,39,,,,,, ,,,1402,1402
feb,m,67,,,,,, ,,,1400,1400
feb,f,57,,,,,, ,,,2000,2000
feb,f,49,,,,,, ,,,1400,1400
feb,m,47,,,,,, ,,,1553,1723
feb,m,48,,,,,, ,,,1380,1380
feb,f,61,,,,,, ,,,1730,1730
feb,f,53,,,,,, ,,,1420,1420
feb,f,30,,,,,, ,,,1609,1609
feb,m,26,,,,,, ,,,1565,1565
feb,f,62,,,,,, ,,,1485,1485
feb,m,60,,,,,, ,,,1358,1358
feb,m,51,,,,,, ,,,1358,1358
feb,m,39,,,,,, ,,,1350,1350
feb,m,58,,,,,, ,,,1350,1350
feb,m,43,,,,,, ,,,1319,1319
feb,f,54,,,,,, ,,,1337,1337
feb,m,36,,,,,, ,,,1316,1316
feb,m,64,,,,,, ,,,1316,1316
feb,f,54,,,,,, ,,,1450,1450
feb,f,35,,,,,, ,,,1900,1900
feb,f,62,,,,,, ,,,1540,1540
feb,f,48,,,,,, ,,,1716,1716
feb,f,47,,,,,, ,,,1300,1300
feb,m,45,,,,,, ,,,1300,1300
feb,m,42,,,,,, ,,,1300,1300
feb,m,41,,,,,, ,,,1716,1716
feb,m,49,,,,,, ,,,1299,1299
feb,m,53,,,,,, ,,,1299,1299
feb,f,43,,,,,, ,,,1299,1299
feb,f,38,,,,,, ,,,1595,1595
feb,f,40,,,,,, ,,,1290,1290
feb,f,25,,,,,, ,,,1279,1279
feb,m,38,,,,,, ,,,1270,1270
feb,f,20,,,,,, ,,,1350,1350
feb,f,34,,,,,, ,,,1256,1256
feb,f,45,,,,,, ,,,1850,2010
feb,f,40,,,,,, ,,,1250,1350
feb,m,35,,,,,, ,,,1239,1239
feb,m,37,,,,,, ,,,1234,1234
feb,m,37,,,,,, ,,,1219,1219
feb,m,49,,,,,, ,,,1218,1218
feb,f,47,,,,,, ,,,1234,1234
feb,f,30,,,,,, ,,,1200,1200
feb,m,28,,,,,, ,,,1200,1200
feb,f,30,,,,,, ,,,1200,1200
feb,f,76,,,,,, ,,,1200,1200
feb,f,30,,,,,, ,,,1320,1320
feb,m,56,,,,,, ,,,1200,1200
feb,m,74,,,,,, ,,,1200,1200
feb,m,24,,,,,, ,,,1200,1200
feb,m,61,,,,,, ,,,1200,1200
feb,f,57,,,,,, ,,,1200,1200
feb,m,49,,,,,, ,,,1200,1200
feb,m,55,,,,,, ,,,2200,2200
feb,m,40,,,,,, ,,,1200,1200
feb,f,67,,,,,, ,,,1649,1949
feb,f,35,,,,,, ,,,1277,1277
feb,m,25,,,,,, ,,,1199,1199
feb,m,73,,,,,, ,,,1501,1501
feb,f,38,,,,,, ,,,1286,1286
feb,m,22,,,,,, ,,,1195,1195
feb,m,24,,,,,, ,,,1190,1190
feb,m,53,,,,,, ,,,1185,1435
feb,f,38,,,,,, ,,,1200,1200
feb,m,21,,,,,, ,,,1220,1220
feb,m,30,,,,,, ,,,1167,1167
feb,m,68,,,,,, ,,,1166,1166
feb,f,61,,,,,, ,,,1465,1465
feb,f,28,,,,,, ,,,1160,1160
feb,f,56,,,,,, ,,,1150,1150
feb,m,37,,,,,, ,,,1150,1150
feb,m,35,,,,,, ,,,1150,1150
feb,m,44,,,,,, ,,,1149,1149
feb,f,24,,,,,, ,,,1187,1187
feb,f,58,,,,,, ,,,1248,1248
feb,m,56,,,,,, ,,,1732,1732
feb,m,55,,,,,, ,,,1219,1219
feb,m,67,,,,,, ,,,1128,1128
feb,f,39,,,,,, ,,,1214,1214
feb,m,49,,,,,, ,,,1126,1126
feb,m,55,,,,,, ,,,1120,1220
feb,f,50,,,,,, ,,,1700,1700
feb,f,27,,,,,, ,,,1100,1100
feb,m,62,,,,,, ,,,1100,1100
feb,f,33,,,,,, ,,,1200,1200
feb,m,46,,,,,, ,,,1100,1100
feb,f,69,,,,,, ,,,1460,1460
feb,m,29,,,,,, ,,,1100,1100
feb,m,46,,,,,, ,,,1100,1100
feb,f,33,,,,,, ,,,1100,1100
feb,m,72,,,,,, ,,,1083,1083
feb,m,25,,,,,, ,,,1070,1070
feb,m,45,,,,,, ,,,1067,1067
feb,m,46,,,,,, ,,,1060,2560
feb,m,51,,,,,, ,,,1150,1150
feb,f,70,,,,,, ,,,1146,1346
feb,f,33,,,,,, ,,,1140,1140
feb,f,44,,,,,, ,,,1103,1103
feb,f,46,,,,,, ,,,1250,1250
feb,f,52,,,,,, ,,,1049,1129
feb,f,62,,,,,, ,,,1129,1129
feb,f,16,,,,,, ,,,1040,1040
feb,f,71,,,,,, ,,,1340,1340
feb,m,57,,,,,, ,,,1040,1040
feb,f,47,,,,,, ,,,1039,1039
feb,m,64,,,,,, ,,,1039,1039
feb,m,65,,,,,, ,,,1033,1033
feb,f,47,,,,,, ,,,1205,1205
feb,m,47,,,,,, ,,,1025,1325
feb,m,30,,,,,, ,,,1012,1012
feb,m,24,,,,,, ,,,1003,1203
feb,m,78,,,,,, ,,,1000,1500
feb,f,55,,,,,, ,,,1000,1400
feb,m,53,,,,,, ,,,1000,1200
feb,f,32,,,,,, ,,,1100,1250
feb,m,21,,,,,, ,,,1000,1000
feb,m,39,,,,,, ,,,1000,1000
feb,m,30,,,,,, ,,,1000,1000
feb,m,46,,,,,, ,,,1000,1000
feb,f,38,,,,,, ,,,1000,1000
feb,m,30,,,,,, ,,,1000,1000
feb,m,32,,,,,, ,,,1000,1000
feb,f,67,,,,,, ,,,1000,1000
feb,m,35,,,,,, ,,,1000,1000
feb,f,43,,,,,, ,,,1000,1000
feb,m,45,,,,,, ,,,1000,1000
feb,m,59,,,,,, ,,,1000,1000
feb,m,45,,,,,, ,,,1000,1000
feb,f,45,,,,,, ,,,1000,1000
feb,f,43,,,,,, ,,,1300,1300
feb,m,58,,,,,, ,,,1000,1000
feb,m,64,,,,,, ,,,1000,1000
feb,m,39,,,,,, ,,,1000,1000
feb,m,38,,,,,, ,,,1000,1000
feb,m,29,,,,,, ,,,1000,1000
feb,m,61,,,,,, ,,,1000,1000
feb,m,34,,,,,, ,,,1000,1000
feb,f,51,,,,,, ,,,1010,1010
feb,f,36,,,,,, ,,,980,980
feb,m,72,,,,,, ,,,980,980
feb,m,70,,,,,, ,,,1110,1110
feb,f,28,,,,,, ,,,1270,1270
feb,m,38,,,,,, ,,,970,970
feb,m,46,,,,,, ,,,970,970
feb,f,30,,,,,, ,,,1000,1000
feb,f,50,,,,,, ,,,1785,1935
feb,f,42,,,,,, ,,,1680,1680
feb,f,52,,,,,, ,,,1190,1390
feb,f,38,,,,,, ,,,950,950
feb,m,60,,,,,, ,,,950,950
feb,m,26,,,,,, ,,,939,939
feb,f,39,,,,,, ,,,949,949
feb,f,47,,,,,, ,,,918,918
feb,f,52,,,,,, ,,,903,903
feb,m,33,,,,,, ,,,900,900
feb,m,28,,,,,, ,,,900,1900
feb,f,37,,,,,, ,,,900,900
feb,f,80,,,,,, ,,,910,910
feb,m,50,,,,,, ,,,900,900
feb,m,38,,,,,, ,,,900,900
feb,f,65,,,,,, ,,,1020,1020
feb,m,72,,,,,, ,,,900,900
feb,m,69,,,,,, ,,,900,900
feb,f,42,,,,,, ,,,1038,1038
feb,f,54,,,,,, ,,,1084,1084
feb,m,35,,,,,, ,,,866,1666
feb,f,21,,,,,, ,,,876,876
feb,m,53,,,,,, ,,,866,866
feb,f,76,,,,,, ,,,886,886
feb,m,59,,,,,, ,,,863,923
feb,f,33,,,,,, ,,,960,960
feb,f,55,,,,,, ,,,850,850
feb,m,50,,,,,, ,,,836,836
feb,f,49,,,,,, ,,,903,903
feb,m,65,,,,,, ,,,825,825
feb,f,30,,,,,, ,,,820,820
feb,f,46,,,,,, ,,,1345,1345
feb,f,56,,,,,, ,,,885,885
feb,m,30,,,,,, ,,,805,805
feb,m,39,,,,,, ,,,800,800
feb,m,25,,,,,, ,,,800,800
feb,m,38,,,,,, ,,,1800,2800
feb,f,56,,,,,, ,,,800,800
feb,m,67,,,,,, ,,,800,800
feb,m,28,,,,,, ,,,800,800
feb,f,26,,,,,, ,,,800,800
feb,m,30,,,,,, ,,,800,800
feb,f,49,,,,,, ,,,2000,2000
feb,f,48,,,,,, ,,,800,800
feb,m,61,,,,,, ,,,800,800
feb,m,66,,,,,, ,,,800,800
feb,m,50,,,,,, ,,,800,800
feb,f,57,,,,,, ,,,860,860
feb,f,59,,,,,, ,,,1100,1100
feb,m,46,,,,,, ,,,800,800
feb,m,45,,,,,, ,,,1189,1189
feb,m,61,,,,,, ,,,792,792
feb,f,66,,,,,, ,,,800,800
feb,m,54,,,,,, ,,,779,1079
feb,m,69,,,,,, ,,,779,779
feb,f,25,,,,,, ,,,775,925
feb,m,33,,,,,, ,,,859,859
feb,m,32,,,,,, ,,,766,766
feb,f,69,,,,,, ,,,1352,1352
feb,f,30,,,,,, ,,,1020,1020
feb,f,44,,,,,, ,,,1110,1110
feb,m,57,,,,,, ,,,770,770
feb,f,55,,,,,, ,,,793,793
feb,f,40,,,,,, ,,,895,2015
feb,f,31,,,,,, ,,,770,770
feb,f,27,,,,,, ,,,740,740
feb,m,50,,,,,, ,,,736,736
feb,f,49,,,,,, ,,,736,736
