month,gender,years,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,edu_lvl,etnicity,1st_source,total
FEB,m,55,,,,,, ,,,1219,1219
FEB,m,67,,,,,, ,,,1128,1128
FEB,f,39,,,,,, ,,,1214,1214
FEB,m,49,,,,,, ,,,1126,1126
FEB,m,55,,,,,, ,,,1120,1220
FEB,f,50,,,,,, ,,,1700,1700
FEB,f,27,,,,,, ,,,1100,1100
FEB,m,62,,,,,, ,,,1100,1100
FEB,f,33,,,,,, ,,,1200,1200
FEB,m,46,,,,,, ,,,1100,1100
FEB,f,69,,,,,, ,,,1460,1460
FEB,m,29,,,,,, ,,,1100,1100
FEB,m,46,,,,,, ,,,1100,1100
FEB,f,33,,,,,, ,,,1100,1100
FEB,m,72,,,,,, ,,,1083,1083
FEB,m,25,,,,,, ,,,1070,1070
FEB,m,45,,,,,, ,,,1067,1067
FEB,m,46,,,,,, ,,,1060,2560
FEB,m,51,,,,,, ,,,1150,1150
FEB,f,70,,,,,, ,,,1146,1346
FEB,f,33,,,,,, ,,,1140,1140
FEB,f,44,,,,,, ,,,1103,1103
FEB,f,46,,,,,, ,,,1250,1250
FEB,f,52,,,,,, ,,,1049,1129
FEB,f,62,,,,,, ,,,1129,1129
FEB,f,16,,,,,, ,,,1040,1040
FEB,f,71,,,,,, ,,,1340,1340
FEB,m,57,,,,,, ,,,1040,1040
FEB,f,47,,,,,, ,,,1039,1039
FEB,m,64,,,,,, ,,,1039,1039
FEB,m,65,,,,,, ,,,1033,1033
FEB,f,47,,,,,, ,,,1205,1205
FEB,m,47,,,,,, ,,,1025,1325
FEB,m,30,,,,,, ,,,1012,1012
FEB,m,24,,,,,, ,,,1003,1203
FEB,m,78,,,,,, ,,,1000,1500
FEB,f,55,,,,,, ,,,1000,1400
FEB,m,53,,,,,, ,,,1000,1200
FEB,f,32,,,,,, ,,,1100,1250
FEB,m,21,,,,,, ,,,1000,1000
FEB,m,39,,,,,, ,,,1000,1000
FEB,m,30,,,,,, ,,,1000,1000
FEB,m,46,,,,,, ,,,1000,1000
FEB,f,38,,,,,, ,,,1000,1000
FEB,m,30,,,,,, ,,,1000,1000
FEB,m,32,,,,,, ,,,1000,1000
FEB,f,67,,,,,, ,,,1000,1000
FEB,m,35,,,,,, ,,,1000,1000
FEB,f,43,,,,,, ,,,1000,1000
FEB,m,45,,,,,, ,,,1000,1000
FEB,m,59,,,,,, ,,,1000,1000
FEB,m,45,,,,,, ,,,1000,1000
